var,importance,random_perm_importance,lasso_coefficient
Death Guard,2.1929728723980108e-05,1.7890655858998628e-06,0.0
1205,2.1642986591314837e-06,1.7813929571453002e-06,0.0
Space Wolves,3.865114464362453e-05,1.523201860131884e-06,-0.0
<Forge World>,7.380576211239096e-06,1.502605828029857e-06,-0.0
501,1.4138981843037396e-05,1.4487902678661513e-06,-7.307981410127797
1203,1.6325627716748242e-06,1.4404572267201488e-06,-3.5415228251898614
Ordo Xenos,1.883320373844775e-06,1.4305664478575508e-06,-0.0
Grey Knights,6.0991418115460685e-06,1.3951452029425938e-06,6.230243473552263
faction_id_GK,1.048462311160354e-05,1.378258298512236e-06,7.937277090343179
631,1.7758432540934135e-06,1.3551171625714177e-06,0.0
Inquisition,2.1088028423864698e-06,1.2302382903284225e-06,-0.0
1507,6.465155346155752e-06,1.1185361678656136e-06,-0.0
Adeptus Ministorum,3.6053183508087287e-06,1.1055244356850123e-06,-0.3341393479031426
2957,7.7161589795601e-06,1.0622799236026382e-06,-45.51974030183408
Imperial Knights,2.237883759174703e-05,1.0424860408919657e-06,-54.34366789962559
faction_id_INQ,1.5775280272466745e-06,1.0356552751611404e-06,-0.0
5151,1.9448912913223496e-05,1.01128917533444e-06,0.0
<Shield Host>,2.6338079793017856e-05,9.45199326296553e-07,0.0
2353,1.250895265769777e-06,9.442116178925986e-07,0.0
<Order>,2.026578795723688e-06,9.344550440548716e-07,5.531639385214069
<Household>,4.883179500546707e-06,9.234303690375256e-07,-0.0
Tyranids,4.363908185784723e-05,8.39463852964073e-07,-1.535561843435799
1191,1.1055504617748442e-06,8.158625852017209e-07,-0.0
500,2.9806781221851976e-06,8.003167047077042e-07,-0.0
Adeptus Mechanicus,7.205721507431295e-06,7.327071198659496e-07,0.0
faction_id_TS,9.82008487737155e-06,6.59691671445195e-07,0.0
<Questor Allegiance>,1.9263106264438047e-05,6.402216612189094e-07,-0.0
3491,2.4749584151272475e-05,6.129954863709486e-07,0.0
1609,2.2989710848046462e-06,6.119684065053477e-07,-0.0
1643,1.5828396228255124e-06,5.726952698958953e-07,3.159879894407444
role_Troops,2.0431063393215894e-06,5.542787012036143e-07,6.923593684049904
Adepta Sororitas,6.276468318431216e-06,4.591064016734592e-07,0.0
<Plague Company>,1.5723803585257068e-05,4.144342486300801e-07,0.0
816,2.6703090214815968e-06,4.133078843837623e-07,-0.0
1976,3.5697139940699644e-08,3.32202812791671e-07,0.0
Aeronautica Imperialis,3.093883476780292e-06,3.281992555281832e-07,-15.596740349674862
Raven Guard,7.005805611984635e-07,3.260978501673506e-07,-0.0
Officio Prefectus,2.368406871261319e-06,3.002496741011385e-07,-0.0
faction_id_RT,1.4491007701113351e-06,2.8088271426529586e-07,0.0
Genestealer Cults,1.7152859178995354e-06,2.753436726399272e-07,-0.0
Militarum Tempestus,2.287163124546977e-06,2.251098822236841e-07,0.0
